measuring location,id,datetime,S3 location,IP address,network latency,1kb (retrieval latency),10kb,100kb,1mb,10mb
home,123,17.11-03.00,usstandard,54.230.98.50,42,.038307,.027609,.029575,.038280,.029952,
home,124,17.11-04.00,usstandard,54.230.99.246,40,.030103,.031001,.027453,.027134,.029706,
home,125,17.11-05.00,usstandard,54.230.99.53,38,.031048,.033089,.029335,.029186,.026879,
home,126,17.11-06.00,usstandard,54.230.98.134,83,.027088,.036533,.026649,.029786,.027403,
home,127,17.11-07.00,usstandard,54.230.98.71,41,.029059,.031064,.030193,.028293,.049020,
home,128,17.11-08.00,usstandard,54.230.96.45,41,.033196,.034709,.030911,.031968,.040429,
home,129,17.11-09.00,usstandard,54.230.98.203,41,.030118,.026400,.054718,.026701,.027510,
home,130,17.11-10.00,usstandard,192.168.1.2,45,.041545,.030213,.035863,.055173,.001826,
home,131,17.11-11.00,usstandard,54.230.98.33,40,.006069,.037658,.028717,.028396,.026966,
home,132,16.11-14.00,saopaulo,54.230.98.53,47,.035834,.027482,.030222,.037265,.036670,
home,133,16.11-15.00,saopaulo,54.230.98.53,42,.027016,.027290,.028355,.027396,.028393,
home,134,16.11-16.00,saopaulo,54.230.98.183,44,.026573,.038221,.046387,.049900,.032350,
home,135,16.11-17.00,saopaulo,54.230.98.182,35,.295206,-1.322630,-2.008827,.032986,.036163,
home,136,16.11-18.00,saopaulo,54.230.98.235,40,.026325,.029045,.027547,.029326,.026777,
home,137,16.11-19.00,saopaulo,54.230.99.63,40,.028677,.030912,.033534,.027910,.037519,
home,138,16.11-20.00,saopaulo,54.230.98.161,10,.044213,.027361,.042229,.030338,.029558,
home,139,16.11-21.00,saopaulo,54.230.99.53,41,.026747,.030188,.046254,.027360,.029133,
home,140,16.11-22.00,saopaulo,54.230.98.222,45,.052332,.033485,.035590,.027780,.028956,
home,141,16.11-23.00,saopaulo,54.230.99.37,43,.040892,.028495,.029583,.029493,.039303,
home,142,17.11-00.00,saopaulo,54.230.99.243,46,.029122,.031244,.035929,.029725,.030329,
home,143,17.11-01.00,saopaulo,54.230.99.43,41,.029272,.028476,.046771,.030824,.027654,
home,144,17.11-02.00,saopaulo,54.230.99.28,36,.032351,.028651,.031564,.029946,.035860,
home,145,17.11-03.00,saopaulo,54.230.98.86,39,.027258,.029652,.042997,.031588,.028891,
home,146,17.11-04.00,saopaulo,54.230.99.246,40,.030767,.036779,.026822,.026471,.027793,
home,147,17.11-05.00,saopaulo,54.230.98.50,43,.042182,.026881,.032194,.026686,.030505,
home,148,17.11-06.00,saopaulo,54.230.99.53,43,.038108,.026576,.027888,.028747,.034026,
home,149,17.11-07.00,saopaulo,54.230.99.196,29,.028693,.033533,.035221,.028324,.055807,
home,150,17.11-08.00,saopaulo,54.230.99.196,34,.029457,.026756,.029573,.038842,.035963,
home,151,17.11-09.00,saopaulo,54.230.99.53,44,.028969,.031223,.026474,.028905,.038528,
home,152,17.11-10.00,saopaulo,54.230.98.5,14,.028265,.031795,.103936,.062137,.035918,
home,153,17.11-11.00,saopaulo,54.230.98.134,43,.028524,.027425,.029855,.029170,.033441,
home,154,16.11-14.00,tokyo,54.230.99.105,33,.034895,.036397,.029565,.029381,.028256,
home,155,16.11-15.00,tokyo,54.230.99.21,36,.028740,.040858,.044846,.030469,.042171,
home,156,16.11-16.00,tokyo,54.230.99.244,35,.033969,.029557,-.171850,.027193,.036374,
home,157,16.11-17.00,tokyo,54.230.98.48,14,.027452,.029564,.032069,.030718,.028491,
home,158,16.11-18.00,tokyo,54.230.98.130,45,.028786,.065875,.068263,.038038,.027561,
home,159,16.11-19.00,tokyo,192.168.1.2,39,.027331,.010970,.027903,.032389,.002887,
home,160,16.11-20.00,tokyo,54.230.99.54,45,.028452,.028744,.000078,.035425,.037138,
home,161,16.11-21.00,tokyo,54.243.222.44,41,.030252,.066753,.029408,.030446,.012740,
home,162,16.11-22.00,tokyo,54.230.98.94,48,.035322,.031030,.036411,.031055,.044655,
home,163,16.11-23.00,tokyo,54.230.98.43,55,.034526,.039639,.029839,.035152,.051697,
home,164,17.11-00.00,tokyo,54.230.99.89,43,.028461,.027969,.032882,.029508,.030565,
home,165,17.11-01.00,tokyo,54.230.97.235,40,.027812,.027965,.030164,.300661,.050262,
home,166,17.11-02.00,tokyo,54.230.98.57,44,.029058,.036753,.027819,.028101,.027614,
home,167,17.11-03.00,tokyo,54.230.99.196,51,.028141,.028006,.026865,.035296,.028268,
home,168,17.11-04.00,tokyo,54.230.98.98,37,.026795,.026916,.029391,.027545,.027501,
home,169,17.11-05.00,tokyo,54.230.99.243,43,.026876,.031888,.029744,.027324,.026942,
home,170,17.11-06.00,tokyo,54.230.98.134,40,.037366,.027095,.034809,.027540,.028456,
home,171,17.11-07.00,tokyo,54.230.98.195,47,.028090,.036285,.030892,.036527,.029409,
home,172,17.11-08.00,tokyo,54.230.99.193,43,.027269,.029766,.027876,.031054,.028774,
home,173,17.11-09.00,tokyo,54.230.96.45,46,.028968,.042576,.028761,.027702,.030128,
home,174,17.11-10.00,tokyo,54.230.98.75,44,.028152,.001610,.029564,.027574,.030126,
home,175,17.11-11.00,tokyo,54.230.98.246,43,.028800,.031215,.034861,.027041,.034313,
home,176,16.11-14.00,frankfurt,54.230.98.161,36,.028243,.029417,.028576,.027988,.037383,
