[Measurement for 100kb at 18:05:22 16.05.2014] 
Tshark:

 88   1.365002  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=64115 Win=65792 Len=0
 89   1.368453 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 90   1.371059 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 91   1.371130  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=66915 Win=65792 Len=0
 92   1.372699 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 93   1.372729 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 94   1.372758  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=69715 Win=65792 Len=0
 95   1.372811 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 96   1.372834 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 97   1.372890  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=72515 Win=65792 Len=0
 98   1.372950 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 99   1.372971 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
100   1.372989  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=75315 Win=65792 Len=0
101   1.373037 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
102   1.379553 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
103   1.379620  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=78115 Win=65792 Len=0
104   1.381734 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
105   1.381799 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
106   1.381840  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=80915 Win=65792 Len=0
107   1.381931 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
108   1.381980 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
109   1.382012  192.168.1.2 -> 54.230.98.130 TCP 54 63786→80 [ACK] Seq=99 Ack=83715 Win=65792 Len=0
110   1.382091 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
111   1.382125 54.230.98.130 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
