[Measurement for 1mb at 13:38:46 16.38.2014] 
Ping request could not find host d17xdwadnyh5jz.cloudfront.net. Please check the name and try again.

Tshark:

  1   0.000000 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 DNS 98 Standard query 0x11b2  A graph.facebook.com
  2   0.038552 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 DNS 156 Standard query response 0x11b2  CNAME api.facebook.com CNAME star.c10r.facebook.com A 31.13.64.97
 86   0.731878  31.13.64.97 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 87   0.732882  31.13.64.97 -> 192.168.1.2  TLSv1.2 115 Application Data
 88   0.732884  31.13.64.97 -> 192.168.1.2  TLSv1.2 101 Application Data
 89   0.732999  192.168.1.2 -> 31.13.64.97  TCP 54 61553→443 [ACK] Seq=3520 Ack=2592 Win=1730 Len=0
 90   0.746943  31.13.64.97 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 91   0.747029  192.168.1.2 -> 31.13.64.97  TCP 54 61553→443 [ACK] Seq=3520 Ack=3992 Win=1724 Len=0
 92   0.747479  31.13.64.97 -> 192.168.1.2  TLSv1.2 115 Application Data
 93   0.747480  31.13.64.97 -> 192.168.1.2  TLSv1.2 101 Application Data
 94   0.747528  192.168.1.2 -> 31.13.64.97  TCP 54 61553→443 [ACK] Seq=3520 Ack=4100 Win=1724 Len=0
 95   0.760172  31.13.64.97 -> 192.168.1.2  TCP 54 443→61553 [ACK] Seq=4100 Ack=3278 Win=2043 Len=0
 96   0.760870  31.13.64.97 -> 192.168.1.2  TCP 54 443→61553 [ACK] Seq=4100 Ack=3520 Win=2043 Len=0
 97   0.763500  31.13.64.97 -> 192.168.1.2  TLSv1.2 99 Application Data
 98   0.772829   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 99   0.781681   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
100   0.781682   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
101   0.781683   82.96.58.7 -> 192.168.1.2  TLSv1.2 223 Application Data
102   0.781683   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
103   0.781684   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
104   0.781685   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
105   0.781686   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
106   0.781687   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
107   0.781687   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
108   0.781688   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
109   0.781754  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=77232 Win=257 Len=0
110   0.781898   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
111   0.781899   82.96.58.7 -> 192.168.1.2  TLSv1.2 463 Application Data
112   0.781899   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
113   0.781900   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
114   0.781902   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
115   0.781931  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=83241 Win=257 Len=0
116   0.786576   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
117   0.786578   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
118   0.786578   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
119   0.786580   82.96.58.7 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
120   0.786644  192.168.1.2 -> 82.96.58.7   TCP 54 61649→443 [ACK] Seq=565 Ack=88841 Win=257 Len=0
