[Measurement for 100kb at 18:05:58 16.05.2014] 
Tshark:

 83   0.457850 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 84   0.457898 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 85   0.457930  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=72527 Win=65792 Len=0
 86   0.458010 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 87   0.458043 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 88   0.458073  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=75327 Win=65792 Len=0
 89   0.458152 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 90   0.464375 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 91   0.464447  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=78127 Win=65792 Len=0
 92   0.465659 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 93   0.466616 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 94   0.466688  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=80927 Win=65792 Len=0
 95   0.466837 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 96   0.469473 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 97   0.469529  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=83727 Win=65792 Len=0
 98   0.469623 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
 99   0.469658 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
100   0.469690  192.168.1.2 -> 54.230.98.94 TCP 54 63794→80 [ACK] Seq=98 Ack=86527 Win=65792 Len=0
101   0.469772 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
102   0.480542 54.230.98.94 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
